DateID,Date,DayofWeek,Month,Quarter,Year,Isweekend
20140727,27-07-2014,6,7,3,2014,TRUE
20140728,28-07-2014,0,7,3,2014,FALSE
20140729,29-07-2014,1,7,3,2014,FALSE
20140730,30-07-2014,2,7,3,2014,FALSE
20140731,31-07-2014,3,7,3,2014,FALSE
20140801,01-08-2014,4,8,3,2014,FALSE
20140802,02-08-2014,5,8,3,2014,TRUE
20140803,03-08-2014,6,8,3,2014,TRUE
20140804,04-08-2014,0,8,3,2014,FALSE
20140805,05-08-2014,1,8,3,2014,FALSE
20140806,06-08-2014,2,8,3,2014,FALSE
20140807,07-08-2014,3,8,3,2014,FALSE
20140808,08-08-2014,4,8,3,2014,FALSE
20140809,09-08-2014,5,8,3,2014,TRUE
20140810,10-08-2014,6,8,3,2014,TRUE
20140811,11-08-2014,0,8,3,2014,FALSE
20140812,12-08-2014,1,8,3,2014,FALSE
20140813,13-08-2014,2,8,3,2014,FALSE
20140814,14-08-2014,3,8,3,2014,FALSE
20140815,15-08-2014,4,8,3,2014,FALSE
20140816,16-08-2014,5,8,3,2014,TRUE
20140817,17-08-2014,6,8,3,2014,TRUE
20140818,18-08-2014,0,8,3,2014,FALSE
20140819,19-08-2014,1,8,3,2014,FALSE
20140820,20-08-2014,2,8,3,2014,FALSE
20140821,21-08-2014,3,8,3,2014,FALSE
20140822,22-08-2014,4,8,3,2014,FALSE
20140823,23-08-2014,5,8,3,2014,TRUE
20140824,24-08-2014,6,8,3,2014,TRUE
20140825,25-08-2014,0,8,3,2014,FALSE
20140826,26-08-2014,1,8,3,2014,FALSE
20140827,27-08-2014,2,8,3,2014,FALSE
20140828,28-08-2014,3,8,3,2014,FALSE
20140829,29-08-2014,4,8,3,2014,FALSE
20140830,30-08-2014,5,8,3,2014,TRUE
20140831,31-08-2014,6,8,3,2014,TRUE
20140901,01-09-2014,0,9,3,2014,FALSE
20140902,02-09-2014,1,9,3,2014,FALSE
20140903,03-09-2014,2,9,3,2014,FALSE
20140904,04-09-2014,3,9,3,2014,FALSE
20140905,05-09-2014,4,9,3,2014,FALSE
20140906,06-09-2014,5,9,3,2014,TRUE
20140907,07-09-2014,6,9,3,2014,TRUE
20140908,08-09-2014,0,9,3,2014,FALSE
20140909,09-09-2014,1,9,3,2014,FALSE
20140910,10-09-2014,2,9,3,2014,FALSE
20140911,11-09-2014,3,9,3,2014,FALSE
20140912,12-09-2014,4,9,3,2014,FALSE
20140913,13-09-2014,5,9,3,2014,TRUE
20140914,14-09-2014,6,9,3,2014,TRUE
20140915,15-09-2014,0,9,3,2014,FALSE
20140916,16-09-2014,1,9,3,2014,FALSE
20140917,17-09-2014,2,9,3,2014,FALSE
20140918,18-09-2014,3,9,3,2014,FALSE
20140919,19-09-2014,4,9,3,2014,FALSE
20140920,20-09-2014,5,9,3,2014,TRUE
